name^	description	features:s[, ]	aspects:s[, ]	favorites:s{ }i
Hangman	The undisputed leader of Noose, who has united the worst of humanity under one creed: Take it all.	Raider, Shielded	Bandit, Barbarian, Samurai	BZKA 1 AAGN 1 BTSP 1
Tarpit	A hitman who follows his own strange rules; he killed his commander on Hangman's orders, then surprisingly assumed control.	Ambush, Seek	Assassin, Skirmisher, Veteran	MISN 1 SBMR 1 STJT 1
Wrath	An outlaw-biker-turned-cult-leader who tells his followers that only Noose will survive the End Times.	Vengeful, Incinerator	Bandit, Chaplain, Skirmisher	BIKE 3
Scurvy	A pirate who terrorized the seas just outside Snow's control; now he exploits the rising tide to raid further inland in the name of Noose.	Ford, Raider	Dragoon, Hunter, Pirate	PTBT 2 MTNK 1
Jackal	A genocidal maniac who wants to exterminate the people of Gem, and has fought in numerous wars to further her aims.	Troop-Focus, Sand-Strike	Hermit, Paladin, Veteran	LTNK 2 FLMT 1
Hitch	A twisted artist, exiled from Sun, who joined Noose to see his horrible visions come to life.	Aerial-Focus, Swarm	Alchemist, Dragoon, Sage	RFSN 1 LPLN 1 JTPK 1
Crusher	A hugely obese “Queen of the Illegal” and leader of a crime family that merged with Noose, tricking Coin in the process.	Pin, Juggernaut	Bandit, Pirate, Shaman	HCNN 2 WTNK 1
Blight	A horrid researcher tasked with destroying the environment in the parts of Leaf that Noose doesn't consider worth capturing.	Venomous, Ruins-Strike	Alchemist, Assassin, Skirmisher	SART 1 HBMR 1 MTNK 1
Screech	A mad scientist from the ex-nation of Stone (now Wave) who didn't like how they paid him, so he built a superweapon to wipe them out.	Vengeful, Structure-Focus	Alchemist, Hermit, Pirate	MRSN 1 JAMR 1 CRSR 1
Fang	Noose's main mouthpiece; he blames his own group's atrocities on Pit, thinking they don't have the strength to fight back.	Swarm, Light-Focus	Chaplain, Dancer, Hunter	RECN 1 CMCP 2
Hyunna	The eccentric dictator who inherited Snow from her father, Hyunso; she wants absolute control over her subjects.	Benefactor, Ice-Home	Dancer, Paladin, Sage	FIJT 3
Laiseng	A strange mix of researcher, commander, and propagandist, Laiseng alters scientific findings to suit Hyunna's whims.	Shielded, Gather	Alchemist, Sage, Samurai	JTPK 3
Gwol	One of Laiseng's subjects, Gwol was a normal general who was force-grown to twice his height; he and his troops also have venomous fangs.	Venomous, Juggernaut	Barbarian, Dragoon, Hermit	BZKA 3
Kanul	A brutal spymaster who seeks to manipulate Noose into fighting other nations while he quells potential uprisings at home.	Stealthy, Ice-Strike	Assassin, Veteran, Warden	SART 3
Tashuin	The leader of Gem and a veteran of countless wars, Tashuin wants to personally kill his sworn nemesis, Noose commander Jackal.	Reliable, Sand-Home	Paladin, Skirmisher, Veteran	MRSN 1 HBMR 1 TRCP 1
Jalnez	The woman who keeps the faith alive in Gem territory; her soldiers are especially brave and routinely take on stronger units.	Lucky, Benefactor	Chaplain, Dragoon, Warden	INFY 2 SPTR 1
Halwahi	A driven woman bent on revenge against Noose for killing much of her family; good at fighting with and against planes.	Aerial-Focus, Vengeful	Hunter, Samurai, Veteran	LPLN 2 AART 1
