	group	abbr^	name	category	description	motion	TOU:i	EVA:i	AMR:i	PRC:i	STR:i	HLP:i	REF:i	MOV:i	DIS:i	aspect:i		primary	min1:i	max1:i	favor1:i	secondary	min2:i	max2:i	favor2:i	features:s[, ]	visual	attacks:i	show1	str1:i	show2	str2:i	index:i
Soldier	SL	INFY	Infantry	TROP	A brave foot soldier who gets stronger in a team.	Foot	2	6	2	4	1	7	8	4	0	6	50	Assault	1	1	2	Assault	1	1	2	Swarm, Lucky, Troop-Focus	Infantry	2	Machine_Gun	1	Machine_Gun	1	0
	SL	BZKA	Bazooka	TROP	A tougher foot soldier who can blast vehicles.	Foot	4	4	4	3	5	7	5	4	0	5	50	Rocket	1	1	4	Pistol	1	1	0	Swarm, Heavy-Focus, Light-Focus	Infantry_P	3	Rocket	3	Handgun	1	1
	SL	BIKE	Bike	TROP	A soldier who moves quickly on a motorcycle and can gather loot.	Wheels	2	5	2	4	1	7	7	6	0	5	50	Assault	1	1	2	Assault	1	1	2	Swarm, Gather, Traverse	Infantry_S	2	Machine_Gun	2	Machine_Gun	2	2
Sniper	SN	RFSN	Rifle Sniper	TROP	A spy who can shoot at medium range and counter as well.	Foot	1	9	1	8	3	2	6	3	2	5	50	Longarm	2	3	4	Pistol	1	1	0	Stealthy, Troop-Focus, Seek	Infantry_T	3	Handgun	1	Handgun	1	3
	SN	MISN	Missile Sniper	TROP	A specialized sniper who is highly skilled at taking down aircraft.	Foot	3	4	2	7	5	5	0	4	4	4	50	Missile	2	6	4	None	0	0	0	Pin, Aerial-Focus, Mountain-Strike	Infantry_PS	1	Arc_Missile	2	None	0	4
	SN	MRSN	Mortar Sniper	TROP	A slow but potent sniper who can pound stationary targets.	Foot	5	1	4	2	9	7	0	3	4	4	50	Cannon	3	7	4	None	0	0	0	Pin, Heavy-Focus, Structure-Focus	Infantry_PT	1	Long_Cannon	2	None	0	5
Tank	TN	LTNK	Light Tank	HEAV	A basic sort of tank with a potent counterattack.	Treads	7	1	6	2	6	3	3	6	0	5	50	Cannon	1	1	2	Assault	1	1	2	Vengeful, Juggernaut, Light-Focus	Tank	3	Cannon	2	Machine_Gun	1	6
	TN	WTNK	War Tank	HEAV	Overkill on treads; has an incredible cannon and a good counter.	Treads	9	1	9	2	9	1	1	5	0	4	50	Cannon	1	1	3	Assault	1	1	1	Vengeful, Juggernaut, Heavy-Focus	Tank_P	3	Cannon	4	Machine_Gun	1	7
	TN	HCNN	Heavy Cannon	HEAV	A mix of tank and artillery that can counter indirect fire.	Treads	8	1	6	1	9	4	1	3	3	4	50	Cannon	1	4	1	Cannon	1	4	3	Vengeful, Juggernaut, Pin	Artillery_P	2	Cannon	4	Cannon	4	8
Artillery	AR	LART	Light Artillery	HEAV	Inaccurate, but long-ranged and able to pin foes it misses.	Treads	6	3	4	1	7	7	0	4	3	4	50	Cannon	2	5	4	None	0	0	0	Pin, Light-Focus, Plains-Home	Artillery	1	Long_Cannon	3	None	0	9
